
*********************************

Época 24700| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.994135582013676| Test Acc 0.819

*********************************

Época 24800| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.983209501799323| Test Acc 0.8195

*********************************

Época 24900| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.986120621883252| Test Acc 0.819

*********************************

Época 25000| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.986120621883252| Test Acc 0.819

*********************************

Época 25100| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.986120621883252| Test Acc 0.819

*********************************

Época 25200| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.986120621883252| Test Acc 0.819

*********************************

Época 25300| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.799025207563755| Test Acc 0.8195

*********************************

Época 25400| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.81076569036493| Test Acc 0.819

*********************************

Época 25500| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.799025207563755| Test Acc 0.8195

*********************************

Época 25600| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.798291217432617| Test Acc 0.82

*********************************

Época 25700| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.798291217432617| Test Acc 0.82

*********************************

Época 25800| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.798428842464773| Test Acc 0.82

*********************************

Época 25900| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.798428842464773| Test Acc 0.82

*********************************

Época 26000| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.985529331812778| Test Acc 0.8195

*********************************

Época 26100| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.985529331812778| Test Acc 0.8195

*********************************

Época 26200| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.985529331812778| Test Acc 0.8195

*********************************

Época 26300| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.985529331812778| Test Acc 0.8195

*********************************

Época 26400| Train Loss 0.044721359549995794| Train ACC 0.999875| Test loss 21.985529331812778| Test Acc 0.8195

*********************************

Época 26500| Train Loss 0.0| Train ACC 1.0| Test loss 21.985483847302522| Test Acc 0.82

*********************************

Época 26600| Train Loss 0.0| Train ACC 1.0| Test loss 21.985483847302522| Test Acc 0.82

*********************************

Época 26700| Train Loss 0.0| Train ACC 1.0| Test loss 21.985483847302522| Test Acc 0.82

*********************************

Época 26800| Train Loss 0.0| Train ACC 1.0| Test loss 21.985483847302522| Test Acc 0.82

*********************************

Época 26900| Train Loss 0.0| Train ACC 1.0| Test loss 21.985483847302522| Test Acc 0.82

*********************************

Época 27000| Train Loss 0.0| Train ACC 1.0| Test loss 21.986211588174985| Test Acc 0.8195

*********************************

Época 27100| Train Loss 0.0| Train ACC 1.0| Test loss 21.986211588174985| Test Acc 0.8195

*********************************

Época 27200| Train Loss 0.0| Train ACC 1.0| Test loss 21.986211588174985| Test Acc 0.8195

*********************************

