
Época 24600| Train Loss 2.0608520352298734| Train ACC 0.9992222222222222| Test loss 22.64579431152725| Test Acc 0.825

*********************************

Época 24700| Train Loss 2.0608520352298734| Train ACC 0.9992222222222222| Test loss 22.647207333355695| Test Acc 0.824

*********************************

Época 24800| Train Loss 2.0608520352298734| Train ACC 0.9992222222222222| Test loss 22.647207333355695| Test Acc 0.824

*********************************

Época 24900| Train Loss 2.0608520352298734| Train ACC 0.9992222222222222| Test loss 22.647207333355695| Test Acc 0.824

*********************************

Época 25000| Train Loss 2.0608520352298734| Train ACC 0.9992222222222222| Test loss 22.669803704487606| Test Acc 0.823

*********************************

Época 25100| Train Loss 1.5577761927397231| Train ACC 0.9993333333333333| Test loss 22.669803704487606| Test Acc 0.823

*********************************

Época 25200| Train Loss 1.5486194568783587| Train ACC 0.9994444444444445| Test loss 22.647207333355695| Test Acc 0.824

*********************************

Época 25300| Train Loss 1.546321800632427| Train ACC 0.9995555555555555| Test loss 22.556595487794695| Test Acc 0.825

*********************************

Época 25400| Train Loss 1.546321800632427| Train ACC 0.9995555555555555| Test loss 22.556595487794695| Test Acc 0.825

*********************************

Época 25500| Train Loss 1.546321800632427| Train ACC 0.9995555555555555| Test loss 22.556684153483197| Test Acc 0.824

*********************************

Época 25600| Train Loss 1.546321800632427| Train ACC 0.9995555555555555| Test loss 22.556684153483197| Test Acc 0.824

*********************************

Época 25700| Train Loss 0.7554248252914824| Train ACC 0.9996666666666667| Test loss 22.196283472689746| Test Acc 0.825

*********************************

Época 25800| Train Loss 0.7554248252914824| Train ACC 0.9996666666666667| Test loss 22.196283472689746| Test Acc 0.825

*********************************

Época 25900| Train Loss 0.7554248252914824| Train ACC 0.9996666666666667| Test loss 22.19637357768156| Test Acc 0.824

*********************************

Época 26000| Train Loss 0.7554248252914824| Train ACC 0.9996666666666667| Test loss 22.19637357768156| Test Acc 0.824

*********************************

Época 26100| Train Loss 0.7554248252914824| Train ACC 0.9996666666666667| Test loss 22.19637357768156| Test Acc 0.824

*********************************

Época 26200| Train Loss 0.7554248252914824| Train ACC 0.9996666666666667| Test loss 22.19637357768156| Test Acc 0.824

*********************************

Época 26300| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.19637357768156| Test Acc 0.824

*********************************

Época 26400| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.28844992367123| Test Acc 0.823

*********************************

Época 26500| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.28844992367123| Test Acc 0.823

*********************************

Época 26600| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.28844992367123| Test Acc 0.823

*********************************

Época 26700| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.28844992367123| Test Acc 0.823

*********************************

Época 26800| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.28844992367123| Test Acc 0.823

*********************************

Época 26900| Train Loss 0.33993463423951903| Train ACC 0.9997777777777778| Test loss 22.28844992367123| Test Acc 0.823

*********************************

